Date,Gas,Low,Average,High,SolarkWh,FireHrs,AwayHrs,PanelsFree,ConsumptionkWh,HotWaterkWh,Guests
"Tuesday, July 12, 2022",0,62,73.04,82,13.402,0,0,1,19.95,1.41,0
"Monday, July 11, 2022",0,68,75.35,84,6.814,0,0,1,18.095,0.66,0
"Sunday, July 10, 2022",0,60,71.17,80,13.158,0,0,1,16.851,1,0
"Saturday, July 9, 2022",0,60,70.71,81,12.726,0,0,1,16.039,1.41,0
"Friday, July 8, 2022",0,68,73.25,79,5.403,0,0,1,17.935,0.95,0
"Thursday, July 7, 2022",0,68,74.88,83,10.264,0,0,1,21.829,1.14,0
"Wednesday, July 6, 2022",0,69,75.15,82,10.524,0,0,1,21.165,1.01,0
"Tuesday, July 5, 2022",0,69,80.81,92,12.042,0,0,1,23.59,1.13,0
"Monday, July 4, 2022",0,83,74.34,83,5.404,0,0,1,20.374,0.86,0
"Sunday, July 3, 2022",0,57,73.32,84,14.041,0,0,1,13.482,0.77,0
"Saturday, July 2, 2022",0,56,71.13,83,12.69,0,0,1,12.947,0.72,0
"Friday, July 1, 2022",0,62,73.46,80,8.038,0,0,1,16.187,1.59,1
"Thursday, June 30, 2022",0,68,77.58,87,13.698,0,0,1,20.861,1.11,1
"Wednesday, June 29, 2022",0,60,73.38,85,14.156,0,0,1,15.282,1.06,0
"Tuesday, June 28, 2022",0,57,70.45,82,13.923,0,0,1,8.581,1.13,0
"Monday, June 27, 2022",0,53,68.28,79,14.23,0,0,1,8.97,1.4,0
"Sunday, June 26, 2022",0,59,68.5,75,14.579,0,0,1,10.521,1.07,0
"Saturday, June 25, 2022",0,66,68.65,74,2.398,0,0,1,14.579,0.96,0
"Friday, June 24, 2022",0,63,76.17,86,13.707,0,0,1,18.919,0.77,0
"Thursday, June 23, 2022",0,64,76.5,88,14.103,0,0,1,17.632,0.6,0
"Wednesday, June 22, 2022",0,66,76.33,85,14.147,0,0,1,16.068,1.47,0
"Tuesday, June 21, 2022",0,70,81.63,95,13.117,0,0,1,21.736,0.62,0
"Monday, June 20, 2022",0,61,77.83,91,14.017,0,0,1,12.324,1.05,0
"Sunday, June 19, 2022",0,53,70.17,84,14.455,0,2,1,7.844,1.05,0
"Saturday, June 18, 2022",0,59,69.42,79,14.741,0,18,1,10.181,0.74,0
"Friday, June 17, 2022",0,62,73.75,83,14.199,0,24,1,6.392,0.49,0
"Thursday, June 16, 2022",0,58,70.34,88,14.418,0,24,1,7.787,0.49,0
"Wednesday, June 15, 2022",0,66,80.78,92,12.027,0,24,1,13.658,0.5,0
"Tuesday, June 14, 2022",0,73,83.83,94,13.835,0,24,1,11.981,0.52,0
"Monday, June 13, 2022",0,64,72.77,64,5.373,0,24,1,5.292,0.53,0
"Sunday, June 12, 2022",0,63,70.29,78,8.423,0,24,1,6.051,1.1,0
"Saturday, June 11, 2022",0,59,63.41,72,5.117,0,12,1,1.426,0.6,0
"Friday, June 10, 2022",0,60,64.48,70,5.378,0,0,1,10.745,0.92,0
"Thursday, June 9, 2022",0,55,66.21,77,13.768,0,0,1,10.13,1.45,0
"Wednesday, June 8, 2022",0,57,63.14,70,8.201,0,0,1,9.524,2.01,0
