Year,Total,Alcohol-related
1970,52627,30150
1971,52542,29552
1972,54589,31500
1973,54052,31022
1974,45196,25500
1975,44525,25004
1976,45523,26550
1977,47878,27500
1978,50331,32339
1979,51093,31980
1980,51091,32100
1981,49301,31005
1982,43945,26173
1983,42589,24635
1984,44257,24762
1985,43825,23167
1986,46087,25017
1987,46390,24094
1988,47087,23833
1989,45582,22424
1990,44599,22587
1991,41508,20159
1992,39250,18290
1993,40150,17908
1994,40716,17308
1995,41817,17732
1996,42065,17749
1997,42013,16711
1998,41501,16673
1999,41717,16572
2000,41945,17380
2001,42196,17400
2002,43005,17524
2003,42643,17013
2004,42518,16919
2005,43443,16885
2006,42532,15829
2007,41059,15387
2008,37261,13846
2009,33808,12744
2010,32885,10228
2011,32367,9878
