Species,Age,Wing,Weight,Culmen,Hallux,Tail
RT,I,385,920,25.7,30.1,219
RT,I,381,990,26.7,31.3,235
CH,I,265,470,18.7,23.5,220
SS,I,205,170,12.5,14.3,157
RT,I,412,1090,28.5,32.2,230
RT,I,370,960,25.3,30.1,212
RT,A,375,855,27.2,30,243
RT,A,412,1210,29.3,31.3,210
RT,I,405,1120,26,30.2,238
RT,I,393,1010,26.3,30.8,222
RT,I,371,1010,25.4,29.7,217
RT,A,390,1120,28.9,30.9,213
RT,I,416,1170,26.5,34,243
RT,A,436,1390,30.5,34,232
RT,I,418,1150,27.1,31,238
RT,A,381,950,28.9,28.9,202
RT,I,378,910,25.7,28.2,227
RT,I,396,1010,24,26.9,227
RT,I,399,1070,26.4,31.2,222
RT,I,416,1190,28.8,31.6,237
RT,I,415,101,24.9,30.7,238
RT,A,392,1330,27,30.3,213
RT,I,380,990,26,30,211
RT,I,399,1100,26.2,32.5,190
RT,A,401,1190,28.6,31.6,245
SS,I,205,180,11.7,15,164
RT,I,427,1490,30.1,32.4,246
RT,A,395,1040,27.1,31.4,207
RT,I,362,820,24.9,27.9,209
RT,A,396,1030,26,29.7,200
RT,A,391,1300,25.5,32.4,215
RT,A,413,1500,26.5,31.3,219
RT,A,371,1080,25.3,27.2,198
RT,A,385,1320,27.3,30.1,207
RT,A,378,1490,25.4,31.3,204
RT,A,416,1500,29.1,30.8,205
SS,I,193,100,9.3,101,144
SS,I,171,88,9.7,11.5,136
CH,I,233,324,16,19.3,191
RT,I,384,1060,26.1,31.2,230
RT,I,382,1140,25.1,29.4,227
RT,I,390,1030,27.6,30.3,208
RT,I,390,1000,25.1,28.3,231
RT,I,393,1050,28.7,29.8,222
RT,I,378,1040,26.2,31.2,225
RT,I,398,1110,26.5,30.9,225
RT,I,412,1300,27.9,31.55,233
RT,I,400,980,25.7,29.3,214
RT,I,422,1120,26.4,28.3,233
SS,I,202,134,12.4,13.7,158
RT,I,394,1270,27.8,31.6,245
RT,I,369,880,25,26.5,210
CH,I,252,340,16,20.8,230
CH,A,240,340,16.1,19.3,192
RT,I,410,1255,29.7,31.4,229
RT,I,241,1320,28.6,36.4,235
RT,I,408,1320,30,33.4,221
RT,I,37.2,1180,20.2,26.65,210
RT,I,380,760,24.5,26.1,212
RT,I,396,1250,26.6,32.5,225
SS,I,158,100,10.8,10.5,122
RT,I,416,1300,27.3,32.7,235
CH,I,271,475,18.2,24.75,232
SS,A,176,100,9.8,11.1,133
RT,A,390,1080,30.2,29.1,209
RT,A,391,1130,26.4,29.4,212
RT,A,387,1160,26.8,31,209
RT,I,420,1345,29.5,34.3,250
RT,A,435,1385,32.6,30.6,235
RT,A,400,1210,25.5,28.6,222
RT,I,398,1455,28,31.5,236
RT,I,395,1180,25,28.9,210
RT,I,410,1500,27.1,33.2,239
RT,I,369,1025,27.1,31.5,228
RT,I,372,930,26.1,31.1,220
RT,I,415,1360,28.6,33.5,233
RT,I,412,1255,27.7,32.6,236
SS,I,205,194,12.6,14.4,155
SS,I,204,159,12.5,14.8,152
SS,I,170,90,9.5,11.3,135
CH,A,233,340,17.8,19.4,186
RT,I,375,1065,25.9,30,216
RT,I,385,1125,19.6,31.4,233
RT,I,422,1340,28.7,32,248
RT,I,391,1050,26.6,32.2,221
RT,I,410,1210,27.5,308,227
RT,I,385,980,26.8,27.8,223
RT,I,381,1000,25.5,29.8,219
RT,A,416,1390,28.1,31.3,225
RT,I,406,1275,29,33.7,238
RT,I,418,1180,30.1,341.4,235
RT,I,412,1210,29.3,33.8,222
SS,A,208,168,12.7,14.8,155
SS,I,208,146,11.8,14.9,160
SS,I,175,108,10,11.5,137
SS,I,166,94,9.5,11.3,127
RT,I,405,1085,27.7,29.9,238
SS,A,198,188,12.2,143,150
SS,I,200,154,12.4,14.4,150
RT,I,380,810,25.9,28.7,229
RT,I,381,905,27.9,29.1,227
SS,I,169,94,9,10.2,129
CH,I,260,420,19.6,23.9,220
RT,I,428,1240,29.1,34.7,245
RT,I,400,990,26.9,31.4,223
CH,I,265,365,16.8,22.5,224
SS,I,177,91,10.2,11.3,133
RT,I,381,1010,25.8,31.7,210
RT,I,403,980,26.3,29.7,234
RT,I,382,860,26.5,29,219
RT,I,382,970,25.8,29,216
RT,I,399,980,27.5,29.9,230
RT,I,380,985,23.9,29,223
RT,I,375,990,25.6,30.6,220
RT,I,420,1210,27.8,32.6,241
SS,I,170,89,8.6,11,136
SS,A,177,97,10,11.3,137
RT,I,375,990,28,29.5,223
RT,I,395,1170,28.1,31.7,238
SS,A,170,93,10.1,11.2,126
RT,I,406,1350,30.5,32,235
RT,I,414,1370,29.3,33,240
SS,I,173,103,9.7,19.4,137
SS,I,209,151,12.2,13.9,160
SS,I,177,101,10.3,12.1,140
RT,I,388,985,26.9,29.8,220
RT,I,277,940,26.5,30.4,218
