ID,Price,Floor,Lot,Bath,Bed,BathBed,Year,Age,AgeSq,Gar,Status,DAc,School,DEd,DHa,DAd,DCr,DPa
1,388.0,2.180,4,3.0,4,12.0,1940,-3.0,9.00,0,Sold,0,Edison,1,0,0,0,0
2,450.0,2.054,5,3.0,4,12.0,1957,-1.3,1.69,2,Sold,0,Edison,1,0,0,0,0
3,386.0,2.112,5,2.0,4,8.0,1955,-1.5,2.25,2,Sold,0,Edison,1,0,0,0,0
4,350.0,1.442,6,1.0,2,2.0,1956,-1.4,1.96,1,Active,1,Adams,0,0,1,0,0
5,155.5,1.800,1,2.0,4,8.0,1994,2.4,5.76,1,Sold,0,Adams,0,0,1,0,0
6,220.0,1.965,5,2.0,3,6.0,1940,-3.0,9.00,1,Sold,0,Adams,0,0,1,0,0
7,239.5,1.800,4,1.1,4,4.4,1958,-1.2,1.44,1,Active,1,Parker,0,0,0,0,1
8,207.0,2.254,4,2.0,4,8.0,1961,-0.9,0.81,2,Sold,0,Parker,0,0,0,0,1
9,269.9,1.922,4,2.1,4,8.4,1965,-0.5,0.25,2,Active,1,Parker,0,0,0,0,1
10,238.8,1.920,5,2.1,3,6.3,1968,-0.2,0.04,2,Sold,0,Parker,0,0,0,0,1
11,359.9,2.200,5,2.0,3,6.0,1970,0.0,0.00,2,Active,1,Redwood,0,0,0,0,0
12,249.7,1.868,4,2.0,4,8.0,1965,-0.5,0.25,2,Sold,0,Redwood,0,0,0,0,0
13,265.0,1.875,4,2.1,3,6.3,1979,0.9,0.81,2,Sold,0,Redwood,0,0,0,0,0
14,349.0,2.000,5,2.0,3,6.0,1997,2.7,7.29,2,Pending,0,Redwood,0,0,0,0,0
15,319.0,1.855,4,2.0,4,8.0,1925,-4.5,20.25,2,Sold,0,Harris,0,1,0,0,0
16,339.0,1.928,5,3.0,3,9.0,1972,0.2,0.04,2,Active,1,Redwood,0,0,0,0,0
17,283.0,1.980,4,3.0,4,12.0,1971,0.1,0.01,2,Active,1,Redwood,0,0,0,0,0
18,275.0,1.528,3,2.1,3,6.3,1975,0.5,0.25,2,Active,1,Redwood,0,0,0,0,0
19,299.9,1.882,3,2.1,3,6.3,1976,0.6,0.36,2,Active,1,Redwood,0,0,0,0,0
20,277.0,1.440,3,2.0,3,6.0,1948,-2.2,4.84,2,Active,1,Edison,1,0,0,0,0
21,299.0,1.994,8,3.0,2,6.0,2005,3.5,12.25,3,Pending,0,Parker,0,0,0,0,1
22,185.0,1.860,4,2.0,5,10.0,1953,-1.7,2.89,0,Sold,0,Parker,0,0,0,0,1
23,232.0,2.031,4,2.0,4,8.0,1950,-2.0,4.00,0,Sold,0,Parker,0,0,0,0,1
24,214.9,1.868,5,2.0,4,8.0,1966,-0.4,0.16,2,Sold,0,Redwood,0,0,0,0,0
25,195.0,2.112,4,2.0,3,6.0,1966,-0.4,0.16,2,Sold,0,Redwood,0,0,0,0,0
26,256.0,1.974,4,2.0,3,6.0,1961,-0.9,0.81,2,Sold,0,Harris,0,1,0,0,0
27,269.7,2.100,4,2.0,4,8.0,1969,-0.1,0.01,2,Active,1,Parker,0,0,0,0,1
28,330.0,1.894,2,2.0,3,6.0,1950,-2.0,4.00,1,Sold,0,Edison,1,0,0,0,0
29,249.9,1.804,5,2.0,3,6.0,1960,-1.0,1.00,2,Pending,0,Redwood,0,0,0,0,0
30,279.9,2.010,5,2.0,3,6.0,1969,-0.1,0.01,2,Pending,0,Edison,1,0,0,0,0
31,325.0,1.661,4,1.1,3,3.3,1974,0.4,0.16,2,Active,1,Crest,0,0,0,1,0
32,259.9,1.708,4,2.0,4,8.0,1937,-3.3,10.89,0,Active,1,Crest,0,0,0,1,0
33,324.5,1.800,2,2.1,3,6.3,2000,3.0,9.00,1,Pending,0,Harris,0,1,0,0,0
34,359.9,1.968,3,3.0,3,9.0,1980,1.0,1.00,2,Active,1,Harris,0,1,0,0,0
35,252.5,1.888,2,2.0,6,12.0,1920,-5.0,25.00,0,Sold,0,Edison,1,0,0,0,0
36,269.0,1.800,3,3.0,5,15.0,1947,-2.3,5.29,0,Sold,0,Redwood,0,0,0,0,0
37,235.0,1.712,5,1.0,3,3.0,1948,-2.2,4.84,1,Sold,0,Edison,1,0,0,0,0
38,256.5,2.200,4,2.1,3,6.3,1966,-0.4,0.16,2,Sold,0,Redwood,0,0,0,0,0
39,319.9,1.920,7,2.1,3,6.3,2004,3.4,11.56,2,Active,1,Parker,0,0,0,0,1
40,355.0,2.129,5,2.0,3,6.0,2003,3.3,10.89,2,Pending,0,Parker,0,0,0,0,1
41,285.0,2.235,7,3.1,4,12.4,1975,0.5,0.25,2,Active,1,Crest,0,0,0,1,0
42,242.0,2.279,5,2.1,4,8.4,1949,-2.1,4.41,1,Sold,0,Parker,0,0,0,0,1
43,197.0,1.850,3,2.0,4,8.0,1964,-0.6,0.36,1,Sold,0,Redwood,0,0,0,0,0
44,281.8,1.886,4,2.0,3,6.0,2005,3.5,12.25,2,Sold,0,Edison,1,0,0,0,0
45,259.0,2.080,2,2.0,4,8.0,1969,-0.1,0.01,2,Pending,0,Redwood,0,0,0,0,0
46,189.5,1.906,3,2.1,3,6.3,1975,0.5,0.25,0,Sold,0,Redwood,0,0,0,0,0
